,0
2006-03-08,48007.0
2006-03-15,46914.0
2006-03-22,54496.0
2006-03-29,54045.0
2006-04-05,47230.0
2006-04-12,49823.0
2006-04-19,60915.0
2006-04-26,63186.0
2006-05-03,65706.0
2006-05-10,66774.0
2006-05-17,64454.0
2006-05-24,65840.0
2006-05-31,58534.0
2006-06-07,58519.0
2006-06-14,56340.0
2006-06-21,63220.0
2006-06-28,61309.0
2006-07-05,58899.0
2006-07-12,58461.0
2006-07-19,62077.0
2006-07-26,62066.0
2006-08-02,59407.0
2006-08-09,59574.0
2006-08-16,62903.0
2006-08-23,63576.0
2006-08-30,63768.0
2006-09-06,55397.0
2006-09-13,54071.0
2006-09-20,60426.0
2006-09-27,58235.0
2006-10-04,54634.0
2006-10-11,53745.0
2006-10-18,56670.0
2006-10-25,57745.0
2006-11-01,60074.0
2006-11-08,42894.0
2006-11-15,57985.0
2006-11-22,58834.0
2006-11-29,59795.0
2006-12-06,52305.0
2006-12-13,51484.0
2006-12-20,58550.0
2006-12-27,57557.0
2007-01-03,51356.0
2007-01-10,51875.0
2007-01-17,56939.0
2007-01-24,58154.0
2007-01-31,56075.0
2007-02-07,56872.0
2007-02-14,66154.0
2007-02-21,63134.0
2007-02-28,54261.0
2007-03-07,53269.0
2007-03-14,52120.0
2007-03-21,58762.0
2007-03-28,57927.0
2007-04-04,49523.0
2007-04-11,49653.0
2007-04-18,60740.0
2007-04-25,62771.0
2007-05-02,65945.0
2007-05-09,68357.0
2007-05-16,66840.0
2007-05-23,69193.0
2007-05-30,70503.0
2007-06-06,62340.0
2007-06-13,61006.0
2007-06-20,66144.0
2007-06-27,64425.0
2007-07-04,37561.0
2007-07-11,53555.0
2007-07-18,60013.0
2007-07-25,59560.0
2007-08-01,64310.0
2007-08-08,64771.0
2007-08-15,51278.0
2007-08-22,58660.0
2007-08-29,57974.0
2007-09-05,48105.0
2007-09-12,45070.0
2007-09-19,50839.0
2007-09-26,52162.0
2007-10-03,46514.0
2007-10-10,46555.0
2007-10-17,55399.0
2007-10-24,57578.0
2007-10-31,61096.0
2007-11-07,44044.0
2007-11-14,58408.0
2007-11-21,56879.0
2007-11-28,58200.0
2007-12-05,49744.0
2007-12-12,46111.0
2007-12-19,48814.0
2007-12-26,46058.0
2008-01-02,39862.0
2008-01-09,39729.0
2008-01-16,43205.0
2008-01-23,46545.0
2008-01-30,48770.0
2008-02-06,54661.0
2008-02-13,53488.0
2008-02-20,48171.0
2008-02-27,47921.0
2008-03-05,38873.0
2008-03-12,34413.0
2008-03-19,38691.0
2008-03-26,39831.0
2008-04-02,30277.0
2008-04-09,26342.0
2008-04-16,24625.0
2008-04-23,22157.0
2008-04-30,30495.0
2008-05-07,32088.0
2008-05-14,30056.0
2008-05-21,16613.0
2008-05-28,13857.0
2008-06-04,6819.0
2008-06-11,3403.0
2008-06-18,5361.0
2008-06-25,5855.0
2008-07-02,3409.0
2008-07-09,4819.0
2008-07-16,13215.0
2008-07-23,12024.0
2008-07-30,14547.0
2008-08-06,19040.0
2008-08-13,21201.0
2008-08-20,15488.0
2008-08-27,18455.0
2008-09-03,14851.0
2008-09-10,14955.0
2008-09-17,16358.0
2008-09-24,19326.0
2008-10-01,13459.0
2008-10-08,15615.0
2008-10-15,12138.0
2008-10-22,18840.0
2008-10-29,15320.0
2008-11-05,24416.0
2008-11-12,18131.0
2008-11-19,20343.0
2008-11-26,16823.0
2008-12-03,15963.0
2008-12-10,9678.0
2008-12-17,14536.0
2008-12-24,17301.0
2008-12-31,19138.0
2009-01-07,16621.0
2009-01-14,20475.0
2009-01-21,15456.0
2009-01-28,17612.0
2009-02-04,15549.0
2009-02-11,19416.0
2009-02-18,17520.0
2009-02-25,19676.0
2009-03-04,13258.0
2009-03-11,17125.0
2009-03-18,17130.0
2009-03-25,19286.0
2009-04-01,13077.0
2009-04-08,16944.0
2009-04-15,16262.0
2009-04-22,18418.0
2009-04-29,15915.0
2009-05-06,28564.0
2009-05-13,25044.0
2009-05-20,18121.0
2009-05-27,15618.0
2009-06-03,16692.0
2009-06-10,13172.0
2009-06-17,17661.0
2009-06-24,15158.0
2009-07-01,17239.0
2009-07-08,13719.0
2009-07-15,14641.0
2009-07-22,15018.0
2009-07-29,18885.0
2009-08-05,24068.0
2009-08-12,26225.0
2009-08-19,15418.0
2009-08-26,19285.0
2009-09-02,12633.0
2009-09-09,14789.0
2009-09-16,14121.0
2009-09-23,17988.0
2009-09-30,13095.0
2009-10-07,15251.0
2009-10-14,12748.0
2009-10-21,18864.0
2009-10-28,15344.0
2009-11-04,24712.0
2009-11-11,18427.0
2009-11-18,19548.0
2009-11-25,16028.0
2009-12-02,15039.0
2009-12-09,12536.0
2009-12-16,19502.0
2009-12-23,15982.0
2009-12-30,18138.0
2010-01-06,15399.0
2010-01-13,19266.0
2010-01-20,14407.0
2010-01-27,16564.0
2010-02-03,21234.0
2010-02-10,25101.0
2010-02-17,15385.0
2010-02-24,17541.0
2010-03-03,13013.0
2010-03-10,16880.0
2010-03-17,16476.0
2010-03-24,18633.0
2010-03-31,18140.0
2010-04-07,22007.0
2010-04-14,18487.0
2010-04-21,17393.0
2010-04-28,14889.0
2010-05-05,22803.0
2010-05-12,19283.0
2010-05-19,17097.0
2010-05-26,14593.0
2010-06-02,16409.0
2010-06-09,12889.0
2010-06-16,17858.0
2010-06-23,15354.0
2010-06-30,16028.0
2010-07-07,12508.0
2010-07-14,14664.0
2010-07-21,15553.0
2010-07-28,19420.0
2010-08-04,16916.0
2010-08-11,19072.0
2010-08-18,14806.0
2010-08-25,18673.0
2010-09-01,13318.0
2010-09-08,15474.0
2010-09-15,15288.0
2010-09-22,19155.0
2010-09-29,15635.0
2010-10-06,15221.0
2010-10-13,12718.0
2010-10-20,18034.0
2010-10-27,12096.0
2010-11-03,16840.0
2010-11-10,10555.0
2010-11-17,19906.0
2010-11-24,16386.0
2010-12-01,15601.0
2010-12-08,13098.0
2010-12-15,16005.0
2010-12-22,17447.0
2010-12-29,19603.0
2011-01-05,13584.0
2011-01-12,17451.0
2011-01-19,14716.0
2011-01-26,16873.0
2011-02-02,13790.0
2011-02-09,17657.0
2011-02-16,18417.0
2011-02-23,20574.0
2011-03-02,12138.0
2011-03-09,16005.0
2011-03-16,17418.0
2011-03-23,19574.0
2011-03-30,17071.0
2011-04-06,19249.0
2011-04-13,15733.0
2011-04-20,20887.0
2011-04-27,18384.0
2011-05-04,16005.0
2011-05-11,12485.0
2011-05-18,23900.0
2011-05-25,21396.0
2011-06-01,16005.0
2011-06-08,12485.0
2011-06-15,18054.0
2011-06-22,15550.0
2011-06-29,19417.0
2011-07-06,12485.0
2011-07-13,14641.0
2011-07-20,15085.0
2011-07-27,18953.0
2011-08-03,14689.0
2011-08-10,16846.0
2011-08-17,15533.0
2011-08-24,19400.0
2011-08-31,12485.0
2011-09-07,14641.0
2011-09-14,12138.0
2011-09-21,19429.0
2011-09-28,15909.0
2011-10-05,14641.0
2011-10-12,12138.0
2011-10-19,20035.0
2011-10-26,16515.0
2011-11-02,20150.0
2011-11-09,13865.0
2011-11-16,20989.0
2011-11-23,17469.0
2011-11-30,17057.0
2011-12-07,14553.0
2011-12-14,18420.0
2011-12-21,15691.0
2011-12-28,17847.0
2012-01-04,16822.0
2012-01-11,20689.0
2012-01-18,14630.0
2012-01-25,16786.0
2012-02-01,20917.0
2012-02-08,24784.0
2012-02-15,14018.0
2012-02-22,16174.0
2012-02-29,16720.0
2012-03-07,20587.0
2012-03-14,17067.0
2012-03-21,16991.0
2012-03-28,14488.0
2012-04-04,28011.0
2012-04-11,24493.0
2012-04-18,17731.0
2012-04-25,15227.0
2012-05-02,20509.0
2012-05-09,16989.0
2012-05-16,14643.0
2012-05-23,12139.0
2012-05-30,16006.0
2012-06-06,17145.0
2012-06-13,19301.0
2012-06-20,13148.0
2012-06-27,17015.0
2012-07-04,10261.0
2012-07-11,14835.0
2012-07-18,9995.0
2012-07-25,7577.0
2012-08-01,8206.0
2012-08-08,8206.0
2012-08-15,0.0
2012-08-22,3556.0
2012-08-29,3556.0
2012-09-05,0.0
2012-09-12,0.0
2012-09-19,825.0
2012-09-26,825.0
2012-10-03,0.0
2012-10-10,0.0
2012-10-17,1.0
2012-10-24,1.0
2012-10-31,1.0
2012-11-07,1.0
2012-11-14,1.0
2012-11-21,100.0
2012-11-28,100.0
2012-12-05,0.0
2012-12-12,0.0
2012-12-19,382.0
2012-12-26,382.0
2013-01-02,0.0
2013-01-09,0.0
2013-01-16,1.0
2013-01-23,1.0
2013-01-30,1.0
2013-02-06,1.0
2013-02-13,3.0
2013-02-20,1.0
2013-02-27,1.0
2013-03-06,0.0
2013-03-13,0.0
2013-03-20,1.0
2013-03-27,1.0
2013-04-03,1.0
2013-04-10,1.0
2013-04-17,1.0
2013-04-24,1.0
2013-05-01,2.0
2013-05-08,2.0
2013-05-15,0.0
2013-05-22,1.0
2013-05-29,1.0
2013-06-05,1.0
2013-06-12,1.0
2013-06-19,1.0
2013-06-26,1.0
2013-07-03,1.0
2013-07-10,1.0
2013-07-17,1.0
2013-07-24,1.0
2013-07-31,0.0
2013-08-07,0.0
2013-08-14,0.0
2013-08-21,1.0
2013-08-28,1.0
2013-09-04,0.0
2013-09-11,0.0
2013-09-18,2.0
2013-09-25,2.0
2013-10-02,0.0
2013-10-09,0.0
2013-10-16,1.0
2013-10-23,1.0
2013-10-30,1.0
2013-11-06,1.0
2013-11-13,1.0
2013-11-20,1.0
2013-11-27,1.0
2013-12-04,0.0
2013-12-11,0.0
2013-12-18,1.0
2013-12-25,1.0
2014-01-01,0.0
2014-01-08,0.0
2014-01-15,0.0
2014-01-22,1.0
2014-01-29,1.0
2014-02-05,1.0
2014-02-12,1.0
2014-02-19,295.0
2014-02-26,295.0
2014-03-05,0.0
2014-03-12,0.0
2014-03-19,1.0
2014-03-26,1.0
2014-04-02,0.0
2014-04-09,0.0
2014-04-16,1.0
2014-04-23,1.0
2014-04-30,0.0
2014-05-07,0.0
2014-05-14,0.0
2014-05-21,37.0
2014-05-28,37.0
2014-06-04,0.0
2014-06-11,0.0
2014-06-18,1.0
2014-06-25,1.0
2014-07-02,0.0
2014-07-09,0.0
2014-07-16,40.0
2014-07-23,40.0
2014-07-30,40.0
2014-08-06,2.0
2014-08-13,2.0
2014-08-20,5.0
2014-08-27,5.0
2014-09-03,0.0
2014-09-10,0.0
2014-09-17,1.0
2014-09-24,1.0
2014-10-01,0.0
2014-10-08,0.0
2014-10-15,0.0
2014-10-22,1.0
2014-10-29,1.0
2014-11-05,88.0
2014-11-12,88.0
2014-11-19,0.0
2014-11-26,0.0
2014-12-03,0.0
2014-12-10,0.0
2014-12-17,1.0
2014-12-24,1.0
2014-12-31,0.0
2015-01-07,0.0
2015-01-14,0.0
2015-01-21,0.0
2015-01-28,0.0
2015-02-04,2.0
2015-02-11,2.0
2015-02-18,0.0
2015-02-25,0.0
2015-03-04,1.0
2015-03-11,1.0
2015-03-18,1.0
2015-03-25,1.0
2015-04-01,1.0
2015-04-08,1.0
2015-04-15,450.0
2015-04-22,450.0
2015-04-29,450.0
2015-05-06,1448.0
2015-05-13,1448.0
2015-05-20,0.0
2015-05-27,0.0
2015-06-03,0.0
2015-06-10,0.0
2015-06-17,1.0
2015-06-24,1.0
2015-07-01,0.0
2015-07-08,0.0
2015-07-15,0.0
2015-07-22,1.0
2015-07-29,1.0
2015-08-05,1287.0
2015-08-12,1287.0
2015-08-19,0.0
2015-08-26,0.0
2015-09-02,0.0
2015-09-09,0.0
2015-09-16,1.0
2015-09-23,1.0
2015-09-30,0.0
2015-10-07,0.0
2015-10-14,0.0
2015-10-21,0.0
2015-10-28,0.0
2015-11-04,326.0
2015-11-11,326.0
2015-11-18,0.0
2015-11-25,0.0
2015-12-02,0.0
2015-12-09,0.0
2015-12-16,0.0
2015-12-23,0.0
2015-12-30,0.0
2016-01-06,0.0
2016-01-13,0.0
2016-01-20,1911.0
2016-01-27,1911.0
2016-02-03,4868.0
2016-02-10,4868.0
2016-02-17,31839.0
2016-02-24,31839.0
2016-03-02,0.0
2016-03-09,0.0
2016-03-16,23587.0
2016-03-23,23587.0
2016-03-30,23587.0
2016-04-06,394.0
2016-04-13,394.0
2016-04-20,27371.0
2016-04-27,27371.0
2016-05-04,14021.0
2016-05-11,14021.0
2016-05-18,25248.0
2016-05-25,25248.0
2016-06-01,0.0
2016-06-08,0.0
2016-06-15,13567.0
2016-06-22,13567.0
2016-06-29,13567.0
2016-07-06,3644.0
2016-07-13,3647.0
2016-07-20,7193.0
2016-07-27,7193.0
2016-08-03,6351.0
2016-08-10,6351.0
2016-08-17,6976.0
2016-08-24,6976.0
2016-08-31,0.0
2016-09-07,0.0
2016-09-14,0.0
2016-09-21,6827.0
2016-09-28,6827.0
2016-10-05,0.0
2016-10-12,0.0
2016-10-19,6529.0
2016-10-26,6529.0
2016-11-02,13573.0
2016-11-09,13573.0
2016-11-16,10537.0
2016-11-23,10537.0
2016-11-30,0.0
2016-12-07,0.0
2016-12-14,0.0
2016-12-21,11702.0
2016-12-28,11702.0
2017-01-04,3105.0
2017-01-11,3103.0
2017-01-18,7356.0
2017-01-25,7356.0
2017-02-01,7159.0
2017-02-08,7159.0
2017-02-15,13175.0
2017-02-22,13175.0
2017-03-01,0.0
2017-03-08,0.0
2017-03-15,0.0
2017-03-22,13559.0
2017-03-29,13559.0
2017-04-05,460.0
2017-04-12,460.0
2017-04-19,14058.0
2017-04-26,14058.0
2017-05-03,20483.0
2017-05-10,20483.0
2017-05-17,11910.0
2017-05-24,11910.0
2017-05-31,0.0
2017-06-07,0.0
2017-06-14,0.0
2017-06-21,12885.0
2017-06-28,12885.0
2017-07-05,1278.0
2017-07-12,1278.0
2017-07-19,11794.0
2017-07-26,11794.0
2017-08-02,18655.0
2017-08-09,18655.0
2017-08-16,3197.0
2017-08-23,3197.0
2017-08-30,3197.0
2017-09-06,0.0
2017-09-13,0.0
2017-09-20,10947.0
2017-09-27,10947.0
2017-10-04,0.0
2017-10-11,0.0
2017-10-18,8701.0
2017-10-25,8701.0
2017-11-01,11043.0
2017-11-08,11043.0
2017-11-15,7869.0
2017-11-22,7869.0
2017-11-29,7869.0
2017-12-06,0.0
2017-12-13,0.0
2017-12-20,17504.0
2017-12-27,17504.0
2018-01-03,3098.0
2018-01-10,3098.0
2018-01-17,27847.0
2018-01-24,27847.0
2018-01-31,16563.0
2018-02-07,16563.0
2018-02-14,48610.0
2018-02-21,32047.0
2018-02-28,0.0
2018-03-07,0.0
2018-03-14,0.0
2018-03-21,31201.0
2018-03-28,31201.0
2018-04-04,229.0
2018-04-11,229.0
2018-04-18,34346.0
2018-04-25,34346.0
2018-05-02,26228.0
2018-05-09,26228.0
2018-05-16,28479.0
2018-05-23,28479.0
2018-05-30,28479.0
2018-06-06,0.0
2018-06-13,0.0
2018-06-20,30454.0
2018-06-27,30454.0
2018-07-04,1132.0
2018-07-11,1133.0
2018-07-18,30302.0
2018-07-25,30302.0
2018-08-01,23069.0
2018-08-08,23069.0
2018-08-15,0.0
2018-08-22,20932.0
2018-08-29,20932.0
2018-09-05,0.0
2018-09-12,0.0
2018-09-19,19007.0
2018-09-26,19033.0
2018-10-03,26.0
2018-10-10,26.0
2018-10-17,23833.0
2018-10-24,23886.0
2018-10-31,34357.0
2018-11-07,34357.0
2018-11-14,34304.0
2018-11-21,24916.0
2018-11-28,24916.0
2018-12-05,0.0
2018-12-12,0.0
2018-12-19,18209.0
2018-12-26,18209.0
2019-01-02,2091.0
2019-01-09,2090.0
2019-01-16,14191.0
2019-01-23,14191.0
2019-01-30,14191.0
2019-02-06,43523.0
2019-02-13,56052.0
2019-02-20,12529.0
2019-02-27,12529.0
2019-03-06,0.0
2019-03-13,0.0
2019-03-20,22379.0
2019-03-27,22379.0
2019-04-03,180.0
2019-04-10,180.0
2019-04-17,31746.0
2019-04-24,31746.0
2019-05-01,38475.0
2019-05-08,38475.0
2019-05-15,0.0
2019-05-22,20057.0
2019-05-29,20062.0
2019-06-05,50.0
2019-06-12,45.0
2019-06-19,21463.0
2019-06-26,21465.0
2019-07-03,2198.0
2019-07-10,2196.0
2019-07-17,19308.0
2019-07-24,19310.0
2019-07-31,54817.0
2019-08-07,54814.0
2019-08-14,54814.0
2019-08-21,14674.0
2019-08-28,14674.0
2019-09-04,50.0
2019-09-11,50.0
2019-09-18,12985.0
2019-09-25,13085.0
2019-10-02,128.0
2019-10-09,28.0
2019-10-16,15683.0
2019-10-23,15736.0
2019-10-30,17783.0
2019-11-06,41822.0
2019-11-13,41805.0
2019-11-20,10034.0
2019-11-27,10203.0
2019-12-04,8372.0
2019-12-11,13623.0
2019-12-18,22179.0
2019-12-25,18371.0
2020-01-01,8260.0
2020-01-08,18271.0
2020-01-15,14867.0
2020-01-22,23659.0
2020-01-29,28266.0
2020-02-05,53364.0
2020-02-12,52182.0
2020-02-19,31238.0
2020-02-26,34812.0
2020-03-04,22679.0
2020-03-11,21427.0
2020-03-18,35806.0
2020-03-25,44037.0
2020-04-01,36238.0
2020-04-08,47112.0
2020-04-15,58644.0
2020-04-22,58869.0
2020-04-29,55294.0
2020-05-06,104760.0
2020-05-13,102681.0
2020-05-20,66859.0
2020-05-27,55608.0
2020-06-03,49583.0
2020-06-10,42873.0
2020-06-17,70365.0
2020-06-24,64328.0
2020-07-01,64471.0
